GeneID	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	PD_1	PD_2	PD_3	PD_4	PD_5	PD_6	PD_7	PD_8
DDA1	12.46189211	24.11244235	7.808087596	13.32783284	14.23910665	0	8.584446653	0	10.6006902	1.809391195	12.72321195	13.69708856	2.370695331	6.716431879
DDAH1	82.98487245	35.64447999	15.61617519	41.38642829	15.91429567	17.8973473	31.21616965	6.801310119	37.10241572	10.85634717	35.99738016	33.91660024	44.25297952	10.07464782
DDB1	30.30505581	42.9830494	16.48374048	19.64101682	29.31580781	49.7148536	49.16546719	40.80786071	90.10586674	95.89773332	38.16963586	50.87490036	53.73576084	55.97026566
DDB2	4.531597131	3.145101176	4.337826442	3.507324432	15.91429567	0	0	6.801310119	2.650172551	0	8.068378311	11.08811931	7.112085994	0
DDC	2.265798565	0	0	0	0	0	15.60808482	0	0	0	4.965155884	0	7.112085994	0
DDHD1	48.43144433	37.74121411	49.45122144	20.3424817	41.87972544	0	34.33778661	22.67103373	66.25431378	9.046955973	31.65286876	54.13611192	38.72135708	81.71658787
DDHD2	64.85848393	48.2248847	36.43774212	61.72891	46.90529249	41.76047702	87.40527501	36.27365397	39.75258827	110.3728629	32.58383549	22.17623862	34.77019819	107.4629101
DDI2	41.35082382	18.87060706	22.5566975	20.3424817	20.93986272	35.79469459	58.53031809	31.73944722	0	14.47512956	17.68836784	13.69708856	12.64370843	0
DDIT3	3.398697848	0	0	2.805859545	15.91429567	25.85172387	9.364850894	9.068413492	2.650172551	0	0.930966728	6.522423122	10.2730131	0
DDIT4	24.07410976	29.35427764	14.7486099	28.05859545	35.17896937	91.47533063	19.51010603	117.8893754	71.55465888	0	46.54833641	41.09126567	84.55480015	61.56729223
DDIT4L	0	7.33856941	0	0	5.025567053	11.93156486	7.02363817	18.13682698	0	0	7.758056069	3.261211561	17.3850991	0
